pump_id,temperature_c,psi,flow_rate_lpm,load_pct,vibration_hz,phase
PMP-01,71.74,130.7,311.04,60.06,25.22,NOMINAL
PMP-01,71.16,130.89,311.88,61.01,25.06,NOMINAL
PMP-01,71.16,131.13,312.15,61.34,24.33,NOMINAL
PMP-01,71.23,131.15,309.98,61.71,24,NOMINAL
PMP-01,70.94,132.16,312.3,61.65,24,NOMINAL
PMP-01,70.53,130.92,313.54,61.6,24.14,NOMINAL
PMP-01,70.62,130.01,315.06,62.43,24,NOMINAL
PMP-01,70.07,130.12,312.71,63.12,24.71,NOMINAL
PMP-01,69.53,130,313.13,63.31,24.72,NOMINAL
PMP-01,69.52,130,314.27,63.05,25.01,NOMINAL
PMP-01,69.15,131.41,313.65,63.14,24.48,NOMINAL
PMP-01,68.86,130.6,311.33,62.36,24.6,NOMINAL
PMP-01,68.83,130.6,313.69,62.11,24,NOMINAL
PMP-01,68.3,131.82,311.55,61.16,24,NOMINAL
PMP-01,68.07,133.06,312.18,61.67,24.36,NOMINAL
PMP-01,68,134.5,312.02,61.08,24.39,NOMINAL
PMP-01,68.26,135.49,310.11,61.34,24.39,NOMINAL
PMP-01,68,134.11,308.16,62.13,24.61,NOMINAL
PMP-01,68,133.58,305.97,61.91,24.82,NOMINAL
PMP-01,68.41,134.69,304.87,61.27,25.07,NOMINAL
PMP-01,68,134.35,303.12,61.5,25.29,NOMINAL
PMP-01,68.05,134.89,302.28,62.35,24.86,NOMINAL
PMP-01,68.42,133.97,302.26,61.6,24.48,NOMINAL
PMP-01,68.52,134.26,303.71,61.93,24,NOMINAL
PMP-01,69.01,135.0,301.29,61.92,24.47,NOMINAL
PMP-01,68.92,135.74,300.0,62.91,24.14,NOMINAL
PMP-01,69.33,135.85,301.29,62.72,24,NOMINAL
PMP-01,69.87,135.12,301.74,63.12,24.47,NOMINAL
PMP-01,69.45,135.05,299.73,63.71,25.17,NOMINAL
PMP-01,69.86,134.55,298.83,63.39,25.83,NOMINAL
PMP-01,70.02,134.69,297.6,63.16,26.25,NOMINAL
PMP-01,69.47,134.14,298.96,63.08,26.91,NOMINAL
PMP-01,69.79,135.0,299.88,62.21,27.24,NOMINAL
PMP-01,70.31,134.27,298.63,62.02,27.01,NOMINAL
PMP-01,69.98,135.58,299.15,61.51,27.03,NOMINAL
PMP-01,70.49,135.89,301.62,62.08,26.33,NOMINAL
PMP-01,70.15,136.78,303.87,61.25,26.42,NOMINAL
PMP-01,70.29,136.63,304.74,61.51,27.18,NOMINAL
PMP-01,69.94,136.19,304.59,61.22,26.58,NOMINAL
PMP-01,70.32,136.22,304.13,60.43,27.35,NOMINAL
PMP-01,70.56,135.99,303.02,60.05,27.0,NOMINAL
PMP-01,70.37,135.78,300.76,60.07,26.64,NOMINAL
PMP-01,69.93,135.7,300.98,60.98,26.12,NOMINAL
PMP-01,70.47,136.46,298.5,60.11,25.63,NOMINAL
PMP-01,70.33,135.5,297,61.03,25.96,NOMINAL
PMP-01,70.17,136.07,297,61.98,25.81,NOMINAL
PMP-01,70.59,135.38,297,62.04,26.46,NOMINAL
PMP-01,70.73,134.6,297.07,62.9,26.0,NOMINAL
PMP-01,70.15,134.66,299.01,61.95,26.21,NOMINAL
PMP-01,70.03,135.65,299.36,61.83,25.99,NOMINAL
PMP-01,69.84,134.45,299.19,62.62,26.7,NOMINAL
PMP-01,69.88,134.85,297.48,62.29,26.04,NOMINAL
PMP-01,69.85,135.46,297,63.25,25.72,NOMINAL
PMP-01,70.23,134.01,297.04,62.5,26.43,NOMINAL
PMP-01,70.78,133.75,297,61.66,26.91,NOMINAL
PMP-01,71.14,135.2,297,61.69,26.27,NOMINAL
PMP-01,71.18,136.33,297,62.15,25.56,NOMINAL
PMP-01,71.64,136.89,297,62.98,26.13,NOMINAL
PMP-01,72.14,137.36,297,63.01,26.77,NOMINAL
PMP-01,72.71,138.39,297,62.75,26.85,NOMINAL
PMP-01,72.64,138.71,297,62.63,26.8,NOMINAL
PMP-01,72.77,137.24,297.57,61.84,26.91,NOMINAL
PMP-01,72.96,136.85,299.03,61.43,27.08,NOMINAL
PMP-01,72.39,137.21,297.41,60.55,26.88,NOMINAL
PMP-01,72.05,138.22,298.79,61.09,26.6,NOMINAL
PMP-01,72.28,137.3,299.27,61.9,26.6,NOMINAL
PMP-01,72.18,137.39,301.63,61.71,27.33,NOMINAL
PMP-01,72.47,137.78,301.93,62.37,27.22,NOMINAL
PMP-01,72.69,138.09,301.31,62.06,27.03,NOMINAL
PMP-01,72.36,137.83,301.19,61.96,26.62,NOMINAL
PMP-01,71.81,136.38,300.33,62.01,26.31,NOMINAL
PMP-01,71.51,137.25,299.11,62.32,26.58,NOMINAL
PMP-01,71.14,137.98,298.29,63.24,26.09,NOMINAL
PMP-01,70.66,137.8,300.66,62.79,26.09,NOMINAL
PMP-01,70.56,137.96,301.08,62.15,26.22,NOMINAL
PMP-01,70.22,136.84,299.9,62.65,25.81,NOMINAL
PMP-01,70.43,135.93,300.01,63.22,25.79,NOMINAL
PMP-01,70.43,136.93,301.48,63.69,25.01,NOMINAL
PMP-01,70.6,135.75,301.65,63.65,25.67,NOMINAL
PMP-01,70.67,137.05,303.77,64.37,25.19,NOMINAL
PMP-01,71.19,138.1,303.03,64.76,25.98,NOMINAL
PMP-01,71.0,138.72,305.47,65.69,25.3,NOMINAL
PMP-01,70.77,137.75,303.29,65.27,26.03,NOMINAL
PMP-01,71.27,136.36,303.1,65.71,26.48,NOMINAL
PMP-01,71.42,137.01,303.3,65.26,26.96,NOMINAL
PMP-01,71.7,138.08,303.04,65.92,26.41,NOMINAL
PMP-01,71.5,138.63,304.36,66.26,26.42,NOMINAL
PMP-01,72.08,138.17,304.35,67,26.32,NOMINAL
PMP-01,72.26,136.92,303.27,67,25.92,NOMINAL
PMP-01,72.36,138.2,304.81,67,26.59,NOMINAL
PMP-01,72.78,136.87,305.06,67,26.45,NOMINAL
PMP-01,72.18,136.16,302.68,66.95,26.91,NOMINAL
PMP-01,71.8,136.64,304.95,67,27.49,NOMINAL
PMP-01,72.12,135.44,302.61,66.07,27.25,NOMINAL
PMP-01,72.57,134.6,300.95,66.78,27.84,NOMINAL
PMP-01,72.25,135.99,301.77,66.89,27.93,NOMINAL
PMP-01,72.55,137.37,303.99,66.77,28.5,NOMINAL
PMP-01,72.74,138.49,306.2,66.35,28.65,NOMINAL
PMP-01,72.24,137.32,307.51,65.89,28.44,NOMINAL
PMP-01,72.45,137.91,305.21,66.03,27.65,NOMINAL
PMP-01,72.59,137.52,304.2,66.08,27.0,NOMINAL
PMP-01,72.92,138.04,301.98,65.38,26.79,NOMINAL
PMP-01,73.17,136.83,301.43,64.58,26.26,NOMINAL
PMP-01,73.56,138.02,302.51,65.41,26.57,NOMINAL
PMP-01,74,137.06,300.48,65.42,26.48,NOMINAL
PMP-01,74,136.74,300.67,66.07,26.86,NOMINAL
PMP-01,73.64,136.14,299.07,66.27,27.49,NOMINAL
PMP-01,73.61,136.29,297,66.24,27.05,NOMINAL
PMP-01,73.11,137.17,297.08,65.44,27.63,NOMINAL
PMP-01,72.94,136.42,297,65.96,26.95,NOMINAL
PMP-01,72.89,136.57,297.7,66.2,27.0,NOMINAL
PMP-01,73.19,136.43,298.58,65.41,27.39,NOMINAL
PMP-01,73.28,134.94,299.54,64.58,27.43,NOMINAL
PMP-01,72.94,135.74,300.46,65.24,27.67,NOMINAL
PMP-01,73.24,136.59,301.69,64.64,28.07,NOMINAL
PMP-01,73.72,136.72,301.45,64.47,28.2,NOMINAL
PMP-01,73.78,137.55,299.51,64.17,27.41,NOMINAL
PMP-01,73.8,137.84,301.73,63.67,27.32,NOMINAL
PMP-01,74,137.4,303.36,63.19,27.52,NOMINAL
PMP-01,73.89,135.98,301.12,62.56,28.16,NOMINAL
PMP-01,73.53,137.17,300.93,62.23,28.4,NOMINAL
PMP-01,73.01,137.99,300.37,61.85,27.88,NOMINAL
PMP-01,72.83,138.27,298.59,61.28,27.24,NOMINAL
PMP-01,72.27,136.78,298.95,61.5,26.72,NOMINAL
PMP-01,72.79,135.82,297,62.46,27.01,NOMINAL
PMP-01,72.94,137.02,297.41,63.06,27.16,NOMINAL
PMP-01,72.52,136.35,297.85,63.05,27.17,NOMINAL
PMP-01,72.67,135.85,297.7,62.43,27.3,NOMINAL
PMP-01,72.97,134.42,297,62.03,26.54,NOMINAL
PMP-01,73.43,135.39,297,61.39,25.87,NOMINAL
PMP-01,73.0,136.87,297.81,60.79,25.53,NOMINAL
PMP-01,72.75,137.52,297.08,60.08,25.95,NOMINAL
PMP-01,72.72,137.15,299.36,59.22,25.21,NOMINAL
PMP-01,72.68,137.99,301.58,59.93,24.5,NOMINAL
PMP-01,73.0,137.96,301.6,60.38,24.93,NOMINAL
PMP-01,72.79,138.01,303.81,59.81,25.24,NOMINAL
PMP-01,72.57,138.15,305.25,59.94,25.6,NOMINAL
PMP-01,72.49,137.68,302.78,59.65,25.96,NOMINAL
PMP-01,72.47,136.27,301.59,60.45,25.98,NOMINAL
PMP-01,72.06,136.53,303.04,59.61,25.83,NOMINAL
PMP-01,71.75,137.94,301.15,58.99,26.0,NOMINAL
PMP-01,71.27,138.36,301.8,59.35,26.68,NOMINAL
PMP-01,70.8,139.68,299.51,58.95,26.41,NOMINAL
PMP-01,71.15,140.53,297.4,58.53,26.91,NOMINAL
PMP-01,70.85,139.81,297.89,57.81,26.81,NOMINAL
PMP-01,70.45,140.63,297,57.34,26.88,NOMINAL
PMP-01,70.52,141.21,298.81,57.65,27.43,NOMINAL
PMP-01,70.09,140.63,299.3,57.44,27.16,NOMINAL
PMP-01,70.01,140.52,297.07,57.39,27.75,NOMINAL
PMP-01,70.53,141.54,297,57.23,28.26,NOMINAL
PMP-01,70.99,142.24,297,57,28.06,NOMINAL
PMP-01,71.26,141.89,297,57,28.31,NOMINAL
PMP-01,71.02,141.08,299.43,57,28.04,NOMINAL
PMP-01,70.9,139.87,298.87,57.41,28.66,NOMINAL
PMP-01,71.06,139.38,297.38,57.73,28.98,NOMINAL
PMP-01,71.41,138.67,297,57.28,29.46,NOMINAL
PMP-01,71.42,138.18,297.22,57,29.51,NOMINAL
PMP-01,71.33,138.86,298.05,57.52,28.97,NOMINAL
PMP-01,71.09,137.47,298.19,57,29.37,NOMINAL
PMP-01,71.41,136.98,297,57.68,29.8,NOMINAL
PMP-01,71.01,137.77,297,58.52,29.38,NOMINAL
PMP-01,71.17,139.15,298.64,58.18,28.65,NOMINAL
PMP-01,71.58,138.58,300.25,57.24,27.97,NOMINAL
PMP-01,71.41,137.28,300.69,57,27.87,NOMINAL
PMP-01,70.89,136.38,301.68,57,28.37,NOMINAL
PMP-01,70.31,135.2,301.91,57.68,28.91,NOMINAL
PMP-01,69.79,136.16,304.21,57.74,28.39,NOMINAL
PMP-01,69.33,135.4,305.11,57.35,27.86,NOMINAL
PMP-01,68.78,135.48,304.58,57.78,28.41,NOMINAL
PMP-01,69.24,134.12,305.62,58.5,28.34,NOMINAL
PMP-01,69.54,133.02,303.29,59.41,28.1,NOMINAL
PMP-01,69.84,134.28,302.46,60.21,28.54,NOMINAL
PMP-01,69.82,133.64,303.5,60.98,28.07,NOMINAL
PMP-01,70.13,132.82,304.69,60.15,28.53,NOMINAL
PMP-01,70.09,131.51,307.05,59.93,28.71,NOMINAL
PMP-01,69.87,130.82,307.33,59.25,29.42,NOMINAL
PMP-01,69.36,132.12,305.09,58.34,28.87,NOMINAL
PMP-01,69.8,132.29,304.41,58.12,29.56,NOMINAL
PMP-01,69.35,132.2,305.2,58.52,29.97,NOMINAL
PMP-01,69.24,132.05,307.31,59.0,30,NOMINAL
PMP-01,69.5,131.36,309.59,58.03,30,NOMINAL
PMP-01,68.93,131.04,310.52,58.69,30,NOMINAL
PMP-01,68.55,131.29,312.39,57.81,29.44,NOMINAL
PMP-01,68.97,132.76,311.22,58.45,29.97,NOMINAL
PMP-01,68.61,132.43,311.09,59.01,30,NOMINAL
PMP-01,68.62,133.61,310.52,59.02,30,NOMINAL
PMP-01,69.09,132.75,310.62,59.18,30,NOMINAL
PMP-01,68.9,132.9,312.55,58.66,30,NOMINAL
PMP-01,69.35,133.11,310.78,58.35,30,NOMINAL
PMP-01,69.8,133.89,312.66,58.69,29.67,NOMINAL
PMP-01,70.11,132.42,311.03,58.39,29.33,NOMINAL
PMP-01,70.36,133.14,311.88,58.47,29.7,NOMINAL
PMP-01,70.49,133.74,309.72,57.56,29.89,NOMINAL
PMP-01,70.93,134.34,308.58,57,30,NOMINAL
PMP-01,71.23,133.23,309.47,57,29.63,NOMINAL
PMP-01,70.9,132.29,311.59,57.55,29.45,NOMINAL
PMP-01,70.97,131.29,310.82,58.21,29.79,NOMINAL
PMP-01,71.5,132.6,309.38,58.95,29.63,NOMINAL
PMP-01,71.72,133.24,310.88,58.02,29.43,NOMINAL
PMP-01,71.63,131.9,312.46,57.42,30,NOMINAL
PMP-01,71.61,133.39,314.4,57.92,29.99,NOMINAL
PMP-01,71.98,132.84,315.93,58.8,29.8,NOMINAL
PMP-01,72.48,132.13,313.79,58.35,30,NOMINAL
PMP-01,71.88,133.47,315.78,57.81,30,NOMINAL
PMP-01,72.04,134.77,316.99,57.37,30,NOMINAL
PMP-01,72.42,135.58,318.25,57.75,29.36,NOMINAL
PMP-01,72.61,136.49,315.96,58.31,29.25,NOMINAL
PMP-01,73.11,136.39,313.48,57.94,28.83,NOMINAL
PMP-01,72.64,134.94,315.33,58.21,29.23,NOMINAL
PMP-01,72.1,135.55,315.29,57.82,28.97,NOMINAL
PMP-01,71.8,136.84,314.05,58.25,28.74,NOMINAL
PMP-01,72.05,135.46,312.78,57.84,28.53,NOMINAL
PMP-01,71.79,136.24,311.13,58.69,28.46,NOMINAL
PMP-01,71.62,135.67,308.83,58.97,29.02,NOMINAL
PMP-01,71.55,135.27,308.02,59.3,29.18,NOMINAL
PMP-01,71.7,136.06,309.28,58.97,29.63,NOMINAL
PMP-01,71.38,134.84,309.19,59.0,30,NOMINAL
PMP-01,71.53,135.87,308.94,58.62,29.38,NOMINAL
PMP-01,71.52,136.9,308.26,59.01,29.29,NOMINAL
PMP-01,71.81,137.85,308.48,58.09,29.78,NOMINAL
PMP-01,72.0,138.75,309.88,57.32,30,NOMINAL
PMP-01,72.29,138.23,310.37,57,30,NOMINAL
PMP-01,71.88,139.09,311.51,57.57,30,NOMINAL
PMP-01,72.46,139.87,310.79,57,29.75,NOMINAL
PMP-01,72.88,139.28,309.21,57,29.43,NOMINAL
PMP-01,73.48,139.04,310.48,57.39,29.5,NOMINAL
PMP-01,73.07,138.86,312.38,58.03,29.49,NOMINAL
PMP-01,73.34,137.83,312.56,58.18,29.93,NOMINAL
PMP-01,72.81,139.31,314.17,58.08,30,NOMINAL
PMP-01,72.92,140.01,315.59,57.44,30,NOMINAL
PMP-01,73.07,138.67,314.44,57.67,30,NOMINAL
PMP-01,73.03,139.83,313.91,57.23,30,NOMINAL
PMP-01,73.39,138.58,315.96,57.93,29.89,NOMINAL
PMP-01,73.67,139.3,317.34,57.57,29.37,NOMINAL
PMP-01,73.69,140.17,318.6,57,29.07,NOMINAL
PMP-01,73.21,140.07,319.86,57.15,28.32,NOMINAL
PMP-01,73.32,140.02,318.32,57.55,27.92,NOMINAL
PMP-01,73.24,140.05,319.51,57,27.17,NOMINAL
PMP-01,72.73,140.34,321.65,57.92,27.28,NOMINAL
PMP-01,72.2,139.55,319.44,57.45,27.39,NOMINAL
PMP-01,72.63,138.59,320.82,57.04,27.51,NOMINAL
PMP-01,72.36,138.58,320.25,57.57,27.55,NOMINAL
PMP-01,72.67,139.55,318.87,57,27.31,NOMINAL
PMP-01,73.24,138.29,317.61,57,26.66,NOMINAL
PMP-01,73.4,137.45,317.09,57.72,26.77,NOMINAL
PMP-01,73.12,137.13,315.48,57.12,26.87,NOMINAL
PMP-01,73.43,138.02,316.68,58.02,27.24,NOMINAL
PMP-01,72.96,137.5,317.57,57.13,26.67,NOMINAL
PMP-01,72.52,137.52,316.44,57,26.22,NOMINAL
PMP-01,72.92,137.88,317.55,57,26.63,NOMINAL
PMP-01,72.78,138.37,317.32,57.3,26.3,NOMINAL
PMP-01,73.35,138.5,319.46,57,26.05,NOMINAL
PMP-01,73.29,138.1,318.4,57.83,25.71,NOMINAL
PMP-01,73.89,137.81,318.34,57.27,25.27,NOMINAL
PMP-01,74,136.49,320.59,57,24.8,NOMINAL
PMP-01,73.56,135.37,319.53,57,24.64,NOMINAL
PMP-01,73.39,136.76,322.01,57,24.99,NOMINAL
PMP-01,73.72,137.52,320.06,57.25,25.72,NOMINAL
PMP-01,73.96,138.27,320.42,57,26.05,NOMINAL
PMP-01,73.74,137.81,320.53,57.82,26.33,NOMINAL
PMP-01,73.88,137.58,322.73,57.49,26.64,NOMINAL
PMP-01,73.82,136.65,321.89,57,26.2,NOMINAL
PMP-01,74,136.32,323.01,57,26.8,NOMINAL
PMP-01,74,137.25,321.96,57,26.77,NOMINAL
PMP-01,74,137.49,324.34,57,26.59,NOMINAL
PMP-01,73.77,138.11,325.04,57,25.86,NOMINAL
PMP-01,74,136.72,326.74,57,25.15,NOMINAL
PMP-01,73.67,136.42,327,57.07,24.49,NOMINAL
PMP-01,73.44,135.03,327,57.73,24.98,NOMINAL
PMP-01,72.9,135.16,327,58.53,25.27,NOMINAL
PMP-01,72.41,136.3,327,57.57,24.64,NOMINAL
PMP-01,72.67,137.04,325.91,58.34,24,NOMINAL
PMP-01,72.44,137.08,327,58.81,24.2,NOMINAL
PMP-01,72.69,137.14,325.5,58.43,24.71,NOMINAL
PMP-01,72.42,136.26,326.73,58.79,24.2,NOMINAL
PMP-01,72.75,135.2,324.88,58.47,24,NOMINAL
PMP-01,72.38,134.86,326.7,59.02,24,NOMINAL
PMP-01,72.9,135.34,326.43,59.68,24,NOMINAL
PMP-01,73.37,136.77,325.09,59.18,24.25,NOMINAL
PMP-01,73.15,137.05,323.67,59.45,24.35,NOMINAL
PMP-01,73.35,138.28,321.17,59.6,24.62,NOMINAL
PMP-01,73.54,139.4,323.14,60.15,24.06,NOMINAL
PMP-01,73.48,139.92,323.86,60.4,24,NOMINAL
PMP-01,72.93,140.07,324.58,60.7,24.2,NOMINAL
PMP-01,72.46,140.39,323.37,61.54,24.94,NOMINAL
PMP-01,73.0,140.91,322.12,61.68,24.15,NOMINAL
PMP-01,72.5,139.9,320.83,61.97,24,NOMINAL
PMP-01,72.46,140.38,318.62,61.56,24.29,NOMINAL
PMP-01,72.65,139.27,321.11,62.21,24.49,NOMINAL
PMP-01,72.66,139.85,321.71,62.72,24.78,NOMINAL
PMP-01,72.12,140.15,322.72,61.93,24.77,NOMINAL
PMP-01,72.66,138.67,322.12,62.68,25.08,NOMINAL
PMP-01,73.12,139.46,322.76,62.94,24.41,NOMINAL
PMP-01,73.15,139.82,321.22,63.72,24.92,NOMINAL
PMP-01,73.61,139.92,318.82,64.49,24.54,NOMINAL
PMP-01,73.73,139.26,318.68,64.03,24.13,NOMINAL
PMP-01,74,140.3,317.11,63.82,24.64,NOMINAL
PMP-01,74,139.46,315.2,64.58,24.38,NOMINAL
PMP-01,74,138.54,316.55,65.42,24.92,NOMINAL
PMP-01,73.53,138.9,315.4,65.38,25.42,NOMINAL
PMP-01,72.95,138.24,315.4,65.52,25.19,NOMINAL
PMP-01,73.13,137.17,313.06,64.79,25.69,NOMINAL
PMP-01,73.0,136.18,311.65,64.68,26.36,NOMINAL
PMP-01,72.44,136.21,310.59,65.16,26.2,NOMINAL
PMP-01,72.52,136.93,311.32,65.47,25.62,NOMINAL
PMP-01,72.14,137.09,308.82,64.89,25.33,NOMINAL
PMP-01,71.88,137.84,309.27,64.08,24.68,NOMINAL
PMP-01,71.68,138.46,308.28,64.64,24,NOMINAL
PMP-01,71.26,139.5,309.78,64.92,24.32,NOMINAL
PMP-01,71.37,138.96,307.75,64.0,24.61,NOMINAL
PMP-01,71.09,139.39,305.95,64.49,24,NOMINAL
PMP-01,71.29,138.17,306.87,64.67,24,NOMINAL
PMP-01,70.74,137.62,305.7,64.06,24,NOMINAL
PMP-01,71.26,139.11,307.99,63.26,24,NOMINAL
PMP-01,71.79,139.42,309.46,63.4,24.27,NOMINAL
PMP-01,71.56,140.54,310.16,64.02,24.66,NOMINAL
PMP-01,72.12,140.66,310.28,64.22,25.18,NOMINAL
PMP-01,71.62,141.73,312.76,63.34,24.73,NOMINAL
PMP-01,71.25,143.01,310.77,64.2,24.25,NOMINAL
PMP-01,71.44,141.64,311.09,64.05,24.77,NOMINAL
PMP-01,71.25,142.43,310.43,63.93,24.69,NOMINAL
PMP-01,71.02,141.39,308.29,63.52,25.4,NOMINAL
PMP-01,70.55,140.88,305.95,62.78,24.66,NOMINAL
PMP-01,70.52,140.33,303.48,61.8,25.41,NOMINAL
PMP-01,70.65,140.69,301.07,60.84,26.14,NOMINAL
PMP-01,70.89,140.13,300.85,60.95,25.69,NOMINAL
PMP-01,70.31,139.79,300.04,60.58,25.8,NOMINAL
PMP-01,70.2,138.94,298.5,60.06,25.79,NOMINAL
PMP-01,70.47,139.13,297,60.6,25.62,NOMINAL
PMP-01,70.06,140.39,298.49,60.88,26.1,NOMINAL
PMP-01,70.54,139.97,297,60.01,26.88,NOMINAL
PMP-01,70.93,140.63,297.83,60.13,27.04,NOMINAL
PMP-01,70.54,141.67,297,59.16,26.51,NOMINAL
PMP-01,70.31,143.01,297.47,59.18,26.09,NOMINAL
PMP-01,70.31,142.54,299.12,58.21,26.52,NOMINAL
PMP-01,70.6,143.6,300.95,57.53,26.01,NOMINAL
PMP-01,70.93,144.17,303.27,57.2,25.64,NOMINAL
PMP-01,71.31,145.18,303.62,58.02,25.56,NOMINAL
PMP-01,71.63,143.68,302.09,58.65,24.9,NOMINAL
PMP-01,71.68,144.34,303.55,58.36,24.92,NOMINAL
PMP-01,72.11,143.32,301.09,58.82,25.61,NOMINAL
PMP-01,72.68,143.66,302.25,59.49,24.87,NOMINAL
PMP-01,72.98,143.62,300.45,59.33,25.37,NOMINAL
PMP-01,72.57,144.28,300.2,59.64,25.9,NOMINAL
PMP-01,72.75,143.0,302.46,59.54,25.57,NOMINAL
PMP-01,72.33,143.76,300.3,59.01,26.11,NOMINAL
PMP-01,72.35,143.15,298.07,58.58,26.86,NOMINAL
PMP-01,71.87,143.69,297,59.46,27.48,NOMINAL
PMP-01,71.66,144.72,297,59.95,27.15,NOMINAL
PMP-01,72.23,145.21,297,60.73,27.46,NOMINAL
PMP-01,71.86,146,297,61.37,26.75,NOMINAL
PMP-01,71.79,146,298.67,61.3,27.19,NOMINAL
PMP-01,72.05,146,299.79,60.4,26.85,NOMINAL
PMP-01,72.54,146,298.64,60.09,27.27,NOMINAL
PMP-01,71.98,144.54,299.94,59.49,26.54,NOMINAL
PMP-01,72.35,145.11,301.86,58.83,26.16,NOMINAL
PMP-01,72.38,144.62,303.3,58.68,25.73,NOMINAL
PMP-01,72.62,143.82,301.11,57.93,25.48,NOMINAL
PMP-01,72.78,144.03,300.29,58.22,24.9,NOMINAL
PMP-01,72.54,143.46,301.8,57.9,24.71,NOMINAL
PMP-01,72.15,143.19,300.77,57,24.89,NOMINAL
PMP-01,72.44,144.54,301.4,57.67,25.05,NOMINAL
PMP-01,72.84,145.92,302.98,57.23,25.38,NOMINAL
PMP-01,72.51,145.36,304.18,57,25.66,NOMINAL
PMP-01,71.99,144.78,305.03,57,25.89,NOMINAL
PMP-01,71.52,143.82,303.02,57.09,25.23,NOMINAL
PMP-01,72.08,145.24,304.74,57,25.19,NOMINAL
PMP-01,72.26,145.12,306.71,57,24.73,NOMINAL
PMP-01,72.19,144.53,306.41,57.14,25.45,NOMINAL
PMP-01,71.64,144.7,306.62,57,25.88,NOMINAL
PMP-01,72.18,145.58,305.6,57.97,25.2,NOMINAL
PMP-01,72.14,146,305.88,58.39,25.51,NOMINAL
PMP-01,71.84,144.82,307.84,58.23,25.99,NOMINAL
PMP-01,72.17,145.15,310.13,59.05,26.27,NOMINAL
PMP-01,71.81,143.83,308.51,59.83,26.46,NOMINAL
PMP-01,71.26,143.69,307.18,59.99,26.27,NOMINAL
PMP-01,70.89,143.65,307.67,60.45,25.58,NOMINAL
PMP-01,71.24,144.0,307.55,60.71,24.96,NOMINAL
PMP-01,71.21,144.44,307.74,60.29,24.25,NOMINAL
PMP-01,71.42,145.03,308.02,59.4,24,NOMINAL
